Requested Quantity 1,Part Number,Vendor,Manufacturer Part Number,Description,Reference Designator
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A1
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A2
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A3
21,490-8814-ND,Digikey,RDER71H104K0K1H03B,CAP CER 0.1UF 50V X7R RADIAL,C1 C5 C6 C4 C10 C55 C12 C54 C99915 C16 C56 C31 C22 C20 C35 C2 C18 C44 C37 C7 C39
1,490-9014-1-ND,Digikey,RDE5C1H390J0M1H03A,CAP CER 39PF 50V C0G/NP0 RADIAL,C13
1,445-180775-1-ND,Digikey,FA28NP01H330JNU06,CAP CER 33PF 50V NP0 RADIAL,C14
2,490-9030-1-ND,Digikey,RDE5C1H560J0M1H03A,CAP CER 56PF 50V C0G/NP0 RADIAL,C15 C17
1,493-16246-1-ND,Digikey,ULD1C470MDD1TD,CAP ALUM 47UF 20% 16V RADIAL,C19
2,445-180756-1-ND,Digikey,FA28C0G2E151JNU06,CAP CER 150PF 250V C0G RADIAL,C23 C21
2,445-180714-1-ND,Digikey,FA28C0G1H182JNU06,CAP CER 1800PF 50V C0G RADIAL,C24 C25
1,493-10824-1-ND,Digikey,UES1E100MDM1TD,CAP ALUM 10UF 20% 25V RADIAL,C32
1,1189-2204-ND,Digikey,16ZLJ4700M16X25,CAP ALUM 4700UF 20% 16V RADIAL,C36
1,493-15896-1-ND,Digikey,URS1C221MPD1TA,CAP ALUM 220UF 20% 16V RADIAL,C38
12,399-14073-1-ND,Digikey,C317C223M5U5TA7301,CAP CER 0.022UF 50V Z5U RADIAL,C57 C59 C27 C33 C26 C28 C29 C30 C40 C41 C42 C43
1,399-13913-1-ND,Digikey,C315C102K1R5TA7301,CAP CER 1000PF 100V X7R RADIAL,C58
1,718-2229-ND,Digikey,515D105M050JA6AE3,CAP ALUM 1UF 20% 50V RADIAL,C8
3,P10369CT-ND,Digikey,ECA-1CM101B,CAP ALUM 100UF 20% 16V RADIAL,C9 C11 C34
1,S9672-ND,Digikey,EBC20DRAS,CONN EDGE DUAL FMALE 40POS 0.100,CN1
1,A144434-ND,Digikey,6-520415-6,CONN FFC VERT 16POS 2.54MM PCB,CN2
2,23-0022182121-ND,Digikey,22182121,CONN RCPT 12POS 0.1 GOLD PCB,CN4 CN3
2,1N5401GDICT-ND,Digikey,1N5401G-T,DIODE GEN PURP 100V 3A AXIAL,D10 D11
6,1N4148FS-ND,Digikey,1N4148,DIODE GEN PURP 100V 200MA DO35,D12 D4 D13 D2 D1 D3
3,1N4148FS-ND,Digikey,1N4148,DIODE GEN PURP 100V 200MA DO35,D7 D5 D6
2,1N4002GDICT-ND,Digikey,1N4002G-T,DIODE GEN PURP 100V 1A DO41,D8 D9
6,1934-1364-ND,Digikey,2743007111,FERRITE BEAD AXIAL 1LN,FB6 FB4 FB3 FB5 FB2 FB1
1,ED3048-5-ND,Digikey,ED40DT,CONN IC DIP SOCKET 40POS TIN,IC1
2,AE9995-ND,Digikey,A 18-LC-TT,CONN IC DIP SOCKET 18POS TIN,IC10 IC11
1,A120349-ND,Digikey,1-2199298-4,CONN IC DIP SOCKET 16POS TIN,IC12
1,296-1639-5-ND,Digikey,SN74LS138N,IC DECODER/DEMUX 1X3:8 16DIP,IC12
2,AE9989-ND,Digikey,A 14-LC-TT,CONN IC DIP SOCKET 14POS TIN,IC13 IC99913
2,296-12770-5-ND,Digikey,CD74HC02E,IC GATE NOR 4CH 2-INP 14DIP,IC13 IC99913
1,1175-1479-ND,Digikey,243-20-1-03,CONN IC DIP SOCKET 20POS TIN,IC15
1,296-1657-5-ND,Digikey,SN74LS273N,IC FF D-TYPE SNGL 8BIT 20DIP,IC15
1,AE9986-ND,Digikey,A 08-LC-TT,CONN IC DIP SOCKET 8POS TIN,IC16
1,296-NE555P-ND,Digikey,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP,IC16
1,ED3048-5-ND,Digikey,ED40DT,CONN IC DIP SOCKET 40POS TIN,IC2
1,ED3048-5-ND,Digikey,ED40DT,CONN IC DIP SOCKET 40POS TIN,IC3
1,ED3048-5-ND,Digikey,ED40DT,CONN IC DIP SOCKET 40POS TIN,IC4
1,ED3048-5-ND,Digikey,ED40DT,CONN IC DIP SOCKET 40POS TIN,IC5
1,1175-1479-ND,Digikey,243-20-1-03,CONN IC DIP SOCKET 20POS TIN,IC6
1,A120349-ND,Digikey,1-2199298-4,CONN IC DIP SOCKET 16POS TIN,IC7
1,AE10004-ND,Digikey,A 28-LC-TT,CONN IC DIP SOCKET 28POS TIN,IC8
1,CP-2360-ND,Digikey,SDS-60J,CONN RCPT FMALE DIN 6POS SOLDER,JK1
1,CP-2360-ND,Digikey,SDS-60J,CONN RCPT FMALE DIN 6POS SOLDER,JK2
1,CP-2340-ND,Digikey,SDS-40J,CONN RCPT FMALE DIN 4POS SOLDER,JK3
1,CP-2350-ND,Digikey,SDS-50J,CONN RCPT FMALE DIN 5POS SOLDER,JK4
1,KSD880OFS-ND,Digikey,KSD880O,TRANS NPN 60V 3A TO220-3,Q1
1,1514-PN2222APBFREE-ND,Digikey,PN2222A PBFREE,TRANS NPN 40V 0.8A TO92-3,Q2
3,100XBK-ND,Digikey,MFR-25FBF52-100R,RES 100 OHM 1% 1/4W AXIAL,R11 R12 R29
2,CF14JT100KCT-ND,Digikey,CF14JT100K,RES 100K OHM 5% 1/4W AXIAL,R14 R13
8,CF14JT4K70CT-ND,Digikey,CF14JT4K70,RES 4.7K OHM 5% 1/4W AXIAL,R20 R17 R15 R16 R18 R19 R6 R10
1,1.50KXBK-ND,Digikey,MFR-25FBF52-1K5,RES 1.5K OHM 1% 1/4W AXIAL,R21
1,CF14JT510RCT-ND,Digikey,CF14JT510R,RES 510 OHM 5% 1/4W AXIAL,R22
1,CF12JT220RCT-ND,Digikey,CF12JT220R,RES 220 OHM 5% 1/2W AXIAL,R23
1,2019-CF1/4CT52R510JCT-ND,Digikey,CF1/4CT52R510J,RES 51 OHM 5% 1/4W AXIAL,R24
1,RSMF1JTR100CT-ND,Digikey,RSMF1JTR100,RES 0.1 OHM 5% 1W AXIAL,R25
1,BC4316CT-ND,Digikey,SFR16S0002700JA500,RES 270 OHM 1/2W 5% AXIAL,R28
2,CF14JT33R0CT-ND,Digikey,CF14JT33R0,RES 33 OHM 5% 1/4W AXIAL,R30 R31
3,CF14JT1K00CT-ND,Digikey,CF14JT1K00,RES 1K OHM 5% 1/4W AXIAL,R32 R27 R26
1,CF14JT9K10CT-ND,Digikey,CF14JT9K10,RES 9.1K OHM 5% 1/4W AXIAL,R33
1,13-MFR-25FRF52-2K2CT-ND,Digikey,MFR-25FRF52-2K2,RES 2.2K OHM 1% 1/4W AXIAL,R34
1,CF12JT100RCT-ND,Digikey,CF12JT100R,RES 100 OHM 5% 1/2W AXIAL,R5
1,CF14JT150RCT-ND,Digikey,CF14JT150R,RES 150 OHM 5% 1/4W AXIAL,R7
6,CF14JT10K0CT-ND,Digikey,CF14JT10K0,RES 10K OHM 5% 1/4W AXIAL,R8 R2 R3 R4 R9 R1
1,2449-J0971CS5VDC.45-ND,Digikey,J0971CS5VDC.45,RELAY GEN PURPOSE SPDT 10A 5V,RY1
1,401-1223-ND,Digikey,F2UEE,SWITCH PUSH DPDT 0.5A 125V,SW1
1,563-1558-ND,Digikey,MFS201N-16-Z,SWITCH SLIDE DPDT 1A 125V,SW2
1,SW410-ND,Digikey,B3F-3152,SWITCH TACTILE SPST-NO 0.05A 24V,SW3
1,SW451-ND,Digikey,B32-1010,CAP TACTILE SQUARE BLACK,SW3
1,2447-GKG50015-ND,Digikey,GKG50015,CAP TRIMMER 10-50PF 100V TH,TC1
1,CTX088-ND,Digikey,MP143,CRYSTAL 14.31818MHZ SERIES TH,X1
1,595-SN74LS623N,Mouser,SN74LS623N,"Transceiver, Non-Inverting",IC14
